SDSS|z|S1.4GHz|F[OIII]|lognuLr|Class
 | |mJy|10-20W/m2|[10-7W]|
-------------------|------|------|------|-----|---
J144626.18+063359.1| 0.063|  64.1|  16.4|39.95|LEG
J144948.90+335126.8| 0.088| 116.0|   5.1|40.52|LEG
J145423.45+162119.0| 0.045|1489.0|  60.5|41.03|LEG
J145752.76+111809.5| 0.122| 105.2|   9.7|40.79|LEG
J145753.81+283218.7| 0.144| 930.0| 990.4|41.89|HEG
J150031.48+362849.8| 0.093|  59.7|  52.1|40.28|LEG
J150146.57+243916.0| 0.120| 108.3|  22.2|40.78|LEG
J150827.31+541507.4| 0.096|  25.7|  20.5|39.95|LEG
J151247.16-014423.3| 0.146| 120.0|2148.5|41.01|HEG
J151414.68+232708.4| 0.088| 232.7|  15.4|40.82|LEG
J151423.26+011130.7| 0.125|  54.0|      |40.52|LEG
J151454.07+420047.3| 0.135| 177.0|  18.8|41.10|LEG
J151639.48+024712.6| 0.110| 131.0|  24.1|40.78|LEG
J151640.21+001501.9| 0.053|2722.0|1286.6|41.43|LEG
J152245.61+194220.3| 0.109|  86.7|  42.3|40.60|LEG
J152257.38+025512.1| 0.110|  29.4|   1.8|40.14|LEG
J153007.96+231616.0| 0.090| 236.0|  25.0|40.85|LEG
J154042.39+422136.0| 0.142|  55.3|  13.8|40.65|LEG
J154118.78+514043.6| 0.148|  40.3|   2.5|40.55|LEG
J155700.17+413111.1| 0.085| 140.0|  25.7|40.57|LEG
J155852.66+262618.9| 0.087|  52.0|  20.0|40.17|LEG
J160909.44+162549.9| 0.143|  88.7|   2.8|40.86|LEG
J161057.11+032202.8| 0.119| 109.1|   6.2|40.78|LEG
J162046.64+430911.4| 0.134|  35.9|   7.7|40.41|LEG
J163604.21+271829.0| 0.134| 363.0|  15.4|41.41|LEG
J164857.35+260441.1| 0.137| 137.7|  19.6|41.01|LEG
J164924.01+263502.6| 0.055| 146.0|  47.4|40.19|LEG
J165847.14+625624.6| 0.106| 258.0|  28.4|41.05|LEG
J214801.27-082527.5| 0.135|  88.0|   2.7|40.80|LEG
J231542.10-002607.0| 0.091|  45.0|  30.5|40.14|LEG
J232710.69-004157.8| 0.099| 223.0|  80.4|40.92|LEG
