SDSS|z|F1.4GHz|F[OIII]|Cr|logLr|logL[OIII]
 | |mJy|10-20W/m2| |[10-7W]|[10-7W]
-------------------|------|------|-----|-----|-----|-----
J105702.79+564503.1| 0.136|  15.4|  4.1| 3.39|40.05|39.33
J105847.67+164526.0| 0.116|  49.4| 16.4| 3.35|40.41|39.79
J110535.78+091956.3| 0.127|  22.3|  6.1| 3.23|40.15|39.44
J111020.07+204657.5| 0.135|  12.9|  2.9| 3.38|39.97|39.18
J111037.33+541135.7| 0.141|  23.5| 15.7| 3.08|40.27|39.95
J111211.37+304352.3| 0.106|  43.5| 24.5| 3.29|40.27|39.87
J111337.13+234846.5| 0.140|   8.4| 17.4| 3.33|39.82|39.99
J111911.13+081539.8| 0.076|  80.0| 25.6| 3.16|40.22|39.58
J112055.83+173854.0| 0.085|  21.5|  9.4| 2.85|39.75|39.25
J112352.34+443735.6| 0.139|  22.9| 10.1| 3.85|40.24|39.74
J112403.19+475814.9| 0.140|  28.2|  3.0| 3.22|40.35|39.22
J112457.40+171744.7| 0.142|   9.5|  5.0| 3.03|39.88|39.46
J112603.59+545329.1| 0.149|  16.0| 12.4| 3.46|40.16|39.90
J113012.79+235822.1| 0.140|  46.5| 19.8| 3.60|40.56|40.05
J113359.23+490343.4| 0.032| 732.0| 84.7| 3.30|40.40|39.32
J114210.72+552729.6| 0.133|  24.9|  8.8| 3.05|40.24|39.64
J114212.11+101159.0| 0.103|  46.6|  9.1| 3.10|40.28|39.42
J114345.53+192333.4| 0.094|  37.8| 17.0| 3.17|40.10|39.61
J115109.39+435918.6| 0.071|  75.0| 37.5| 3.17|40.13|39.69
J115323.89+305904.8| 0.136|  43.2|  8.9| 3.30|40.50|39.67
J115508.97+232623.4| 0.144|  26.4| 12.6| 2.98|40.34|39.87
J115729.60+292308.1| 0.140|  16.6|  9.3| 3.32|40.11|39.71
J115816.37+340605.9| 0.131|  19.8| 26.3| 3.16|40.13|40.11
J115936.05+233947.5| 0.142|  31.8|  5.0| 3.51|40.41|39.45
J120021.93-020152.7| 0.146|  40.4| 24.8| 3.12|40.54|40.18
J120401.47+201356.3| 0.024| 402.1|111.6| 3.25|39.91|39.21
J120425.29+034510.6| 0.149|  54.7|  4.2| 3.14|40.69|39.43
J120522.29+050941.4| 0.136| 105.0|  0.6| 3.47|40.88|38.49
J120943.62-020459.6| 0.100|  32.3| 23.3| 3.34|40.09|39.80
J121110.99+060744.1| 0.139|  50.9| 12.8| 3.12|40.59|39.84
J121114.07+060833.9| 0.138|  78.5| 11.1| 3.18|40.78|39.78
J121121.12+141439.2| 0.064|  62.0| 56.4| 3.13|39.96|39.77
J121332.93+072516.9| 0.137|  17.2| 10.9| 3.00|40.11|39.76
J121519.19+472142.4| 0.146|  31.1|  2.9| 3.09|40.42|39.25
J121534.18+135635.0| 0.093|  30.9| 21.1| 3.15|40.00|39.69
J121543.82+170917.6| 0.095| 460.0| 40.0| 2.86|41.19|39.99
J121619.95+155417.7| 0.093|  77.2| 19.0| 3.11|40.40|39.64
J121640.12+034231.5| 0.080| 207.0| 24.0| 3.22|40.69|39.61
J122156.16+020450.8| 0.126| 119.5|  9.5| 3.40|40.87|39.62
J122532.09+192615.2| 0.129|  25.6| 23.9| 3.05|40.22|40.05
J122622.49+640622.0| 0.110|  81.0| 43.6| 3.09|40.58|40.16
J122640.83+430509.2| 0.074|  33.5| 18.4| 3.15|39.83|39.42
J123128.93+491537.0| 0.111|  52.1|  5.1| 3.06|40.39|39.24
J124135.94+162033.6| 0.070| 165.0| 77.2| 3.31|40.47|39.99
J124207.38+502146.6| 0.148| 102.0| 14.3| 3.33|40.95|39.95
J124622.48+075327.9| 0.111|  19.8| 23.4| 3.25|39.97|39.89
J124647.52+545315.0| 0.085|  38.5| 32.6| 3.09|40.01|39.79
J125434.93-023412.4| 0.116| 122.6|  2.0| 3.30|40.80|38.86
J125953.32+575149.7| 0.149|  15.5|  5.5| 3.17|40.14|39.55
J130203.58-005012.3| 0.085|  73.7| 30.2| 3.27|40.29|39.76
J130248.70+475510.6| 0.141|  47.9| 20.0| 3.06|40.58|40.05
J130619.24+111339.7| 0.086| 321.0| 44.5| 3.04|40.94|39.94
J131053.44-022841.5| 0.143|  53.0| 12.7| 2.77|40.64|39.87
J131531.07+525437.3| 0.121|  37.1|  0.5| 3.31|40.33|38.30
J131613.54+093236.7| 0.094|  42.0| 23.6| 3.43|40.14|39.74
J132017.54+043037.4| 0.146|  30.5|  4.4| 2.59|40.42|39.42
J132302.49+172832.9| 0.120|  38.7| 13.9| 3.36|40.34|39.75
J132736.13+270816.8| 0.143|  34.2| 11.2| 3.35|40.45|39.82
J133038.01+390815.4| 0.146|  47.5| 14.3| 3.22|40.61|39.94
J134529.50+054952.9| 0.127|  54.2| 15.8| 3.21|40.53|39.85
J134745.19+503203.5| 0.150|  18.2|  1.3| 3.35|40.21|38.91
J135214.56+123401.7| 0.145|  11.0|     | 3.44|39.96|
J135302.04+330528.5| 0.061|  80.0| 22.1| 3.24|40.03|39.32
J135511.34+242415.6| 0.137|  16.1|  4.1| 3.08|40.08|39.34
J135553.63+262217.9| 0.141|  69.8|  6.9| 3.17|40.74|39.59
J135655.28+271120.2| 0.141|  16.3| 13.5| 3.06|40.11|39.88
J140313.28+061008.2| 0.083| 256.6| 76.9| 3.23|40.81|40.14
J140916.74+060139.4| 0.139|  10.8| 25.3| 3.37|39.92|40.14
J141138.22+495304.0| 0.129|  27.5| 16.5| 3.10|40.25|39.88
J141243.83+495206.5| 0.077| 101.4| 24.0| 3.23|40.35|39.58
J141427.10+282830.5| 0.140|  77.1|  9.4| 3.30|40.78|39.72
J141652.94+104826.7| 0.025|4581.1|228.7| 3.06|40.98|39.53
J142206.79+361434.8| 0.124|  13.7| 17.5| 2.75|39.91|39.87
J142521.22+630921.3| 0.136|  19.8|  7.7| 3.22|40.16|39.60
J142616.34+005015.3| 0.125|  88.7| 10.1| 2.98|40.73|39.64
J142623.76+551804.9| 0.132|  52.8|  8.5| 3.30|40.56|39.62
J142649.23+621005.9| 0.109|  25.9| 28.5| 3.40|40.07|39.97
J142832.60+424021.0| 0.129|  56.4| 48.0| 3.23|40.57|40.35
J143147.54+605109.4| 0.113| 163.0| 27.7| 3.19|40.90|39.99
J143257.81+043715.1| 0.106|  68.6| 21.8| 3.14|40.46|39.82
J143638.56+011058.8| 0.137|  19.2| 15.9| 2.98|40.16|39.93
J143928.78+110613.8| 0.125|  39.8| 12.7| 2.86|40.39|39.74
J145215.46+502225.1| 0.094| 133.8| 13.9| 3.14|40.65|39.52
J145555.27+115141.4| 0.032| 382.0|142.0| 3.30|40.12|39.54
J150111.50+093547.9| 0.145|  15.2| 15.3| 3.09|40.10|39.96
J150148.14+163345.6| 0.150|  37.2|  3.9| 3.36|40.53|39.40
J150408.01+565545.4| 0.148|  57.3| 12.4| 3.30|40.70|39.89
J150450.51+044054.8| 0.092|  53.6|  7.7| 2.99|40.23|39.24
J150957.37+332715.0| 0.117|  66.0| 11.7| 3.24|40.54|39.65
J150959.74+332746.1| 0.110|  66.0| 25.0| 3.10|40.49|39.92
J151744.96+310015.8| 0.136|  49.0|  7.1| 3.21|40.55|39.57
J151845.72+061356.1| 0.102| 487.0| 26.0| 3.63|41.28|39.86
J152045.04+483922.9| 0.078|  80.6| 19.8| 3.04|40.26|39.50
J152122.54+042030.1| 0.052| 452.0| 51.4| 2.93|40.64|39.55
J152126.99+483943.2| 0.074|  63.3| 17.4| 3.14|40.10|39.40
J152235.19+155707.6| 0.145|  25.2| 15.2| 3.28|40.33|39.96
J152326.91+283732.5| 0.082| 733.0| 48.9| 3.16|41.26|39.94
J152500.83+332359.8| 0.082|  75.5| 52.6| 3.21|40.27|39.96
J152522.33+314037.1| 0.079|  51.4| 33.7| 3.35|40.07|39.74
J152715.31+133650.9| 0.144|  47.2| 25.9| 2.88|40.59|40.19
J152737.36+412947.1| 0.135|  14.3|     | 3.07|40.02|
J152945.60+304235.6| 0.114|  88.0| 27.8| 3.55|40.64|40.00
J153138.76+064045.5| 0.101|  40.1| 47.2| 3.25|40.19|40.12
J153215.31+433844.5| 0.145|  26.8| 15.9| 3.17|40.35|39.98
J153621.11+084112.1| 0.126|  68.1| 18.6| 3.31|40.63|39.92
J153932.09+013710.5| 0.116|  20.1| 26.6| 2.93|40.02|39.99
J154155.16+012517.4| 0.085| 113.0| 24.5| 3.25|40.48|39.67
J154709.22+353846.1| 0.079| 213.9| 36.2| 3.01|40.70|39.78
J155222.36+223311.9| 0.068|  44.8| 40.0| 3.44|39.88|39.68
J155311.93+273320.6| 0.147| 115.0|  9.0| 2.89|41.00|39.75
J155401.99+150946.8| 0.132|  50.5| 19.7| 3.21|40.54|39.98
J155721.38+544015.9| 0.047|  90.0| 91.8| 3.44|39.84|39.71
J160816.32+373743.1| 0.103|  40.4| 13.3| 3.30|40.21|39.59
J161037.77+532421.0| 0.064|  61.2| 48.6| 3.43|39.95|39.71
J161114.11+265524.2| 0.032| 102.8|111.1| 3.42|39.56|39.44
J161242.69+295404.7| 0.053|  36.1|  5.6| 3.29|39.56|38.61
J162700.42+275547.7| 0.132|  14.5|  8.7| 2.97|40.00|39.63
