_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
231.5768600|+16.9988100|J152618.4+165955|2| 1.168|231.57686|+16.99881| 0.1857|  2.9|  5.0| -5.3| 0.88
231.5803400|+18.7412100|J152619.2+184428|2| 0.741|231.58034|+18.74121| 0.2935|  5.1|  4.9| -5.4| 1.22
231.6374900|+42.6394300|J152632.9+423821|2| 0.302|231.63749|+42.63943| 0.3780| 16.6|  8.9|  5.1| 1.34
231.6712200|+36.0723700|J152641.0+360420|2| 0.478|231.67122|+36.07237| 0.5359|  6.3|  4.3| -5.9| 0.47
231.7039600|+37.3427900|J152648.9+372034|3| 0.624|231.70396|+37.34279| 0.3967| 18.6| 15.3| 13.4| 1.18
231.7456400|+51.1780100|J152658.9+511041|2| 0.778|231.74564|+51.17801| 0.3664|  1.9|  1.9| -7.1| 1.19
231.7667600|+25.1652400|J152703.9+250954|2| 0.527|231.76676|+25.16524| 0.5403| 25.8| 18.7| 17.2| 1.24
231.7696100|+30.2931000|J152704.7+301735|2| 0.480|231.76961|+30.29310| 0.5889|  8.8|  6.0| -4.2| 1.09
231.7861200|+55.4367400|J152708.7+552611|2| 0.500|231.78612|+55.43674| 0.2669|  2.5|  1.8| -7.1| 0.98
231.8433700|+12.8477200|J152722.4+125051|2| 0.593|231.84337|+12.84772| 0.4624|  7.2|  5.7| -4.6| 0.99
231.8554800|+07.5879000|J152725.2+073516|2| 1.015|231.85548|+07.58790| 0.2571|  5.7|  8.0|  3.1| 0.64
231.9088900|+43.9532500|J152738.1+435712|2| 0.304|231.90889|+43.95325| 0.5727|  3.6|  1.9| -7.1| 0.84
231.9408600|+42.3569700|J152745.7+422126|2| 0.460|231.94086|+42.35697| 0.3138| 11.6|  7.7|  2.4| 1.16
231.9444000|+15.1390200|J152746.6+150820|2| 0.768|231.94440|+15.13902| 0.5902| 27.0| 27.0| 26.0| 0.96
231.9742000|+47.8252400|J152753.7+474929|2| 0.334|231.97420|+47.82524| 0.3435|  4.6|  2.6| -6.8| 1.33
232.1117300|+32.0767000|J152826.5+320440|2| 0.339|232.11173|+32.07670| 0.2600| 70.1| 39.5| 38.9| 1.10
232.1601300|+24.3404500|J152838.4+242025|2| 0.417|232.16013|+24.34045| 0.2621| 25.6| 16.0| 14.3| 1.09
232.1816800|+54.4530900|J152843.5+542711|2| 0.814|232.18168|+54.45309| 0.7670|  2.8|  3.0| -6.7| 1.00
232.2500000|+18.2216400|J152859.9+181318|2| 0.338|232.25000|+18.22164| 0.5874|  3.6|  2.0| -7.0| 0.89
232.2749000|+20.9163000|J152905.9+205457|2| 0.756|232.27490|+20.91630| 0.6583|  8.1|  8.0|  3.1| 0.99
232.2845600|+47.4547500|J152908.3+472717|2| 0.650|232.28456|+47.45475| 0.6811|  5.2|  4.4| -5.8| 0.99
232.3235900|+35.7647200|J152917.7+354553|2| 1.090|232.32359|+35.76472| 0.3452|  5.4|  8.3|  4.0| 1.36
