_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
000.1002600|+12.4981300|J000024.0+122953|2| 0.764|000.10026|+12.49813| 0.6559|  6.9|  6.8| -2.6| 1.40
000.1765000|+14.5958700|J000042.3+143545|2| 0.242|000.17650|+14.59587| 0.6223| 79.5| 39.4| 38.8| 1.25
000.2285400|+03.4267600|J000054.8+032536|2| 0.445|000.22854|+03.42676| 0.5356| 34.6| 22.5| 21.2| 1.19
000.5105000|+14.5594400|J000202.5+143333|2| 0.756|000.51050|+14.55944| 0.5629| 14.5| 14.3| 12.3| 0.87
000.8894500|+03.6132100|J000333.4+033647|3| 1.025|000.88945|+03.61321| 0.0849|  2.5|  3.5| -6.4| 0.81
001.4652800|+12.0534400|J000551.6+120312|2| 0.294|001.46528|+12.05344| 0.3118|  1.1|  0.6| -7.3| 0.95
001.5346600|+12.2422400|J000608.3+121431|2| 0.545|001.53466|+12.24224| 0.4983|  3.2|  2.4| -6.9| 1.52
001.7141400|+07.0644000|J000651.3+070352|2| 0.571|001.71414|+07.06440| 0.6185|  1.7|  1.3| -7.2| 0.60
001.8672000|+11.1050600|J000728.1+110618|2| 0.975|001.86720|+11.10506| 0.6729|  3.6|  4.8| -5.5| 0.83
002.0819400|+11.9138300|J000819.6+115449|2| 0.569|002.08194|+11.91383| 0.1744| 52.3| 40.1| 39.5| 0.74
002.7987300|+03.7104800|J001111.7+034237|2| 0.493|002.79873|+03.71048| 0.6603|  3.0|  2.1| -7.0| 0.99
002.8122600|+01.8150500|J001115.0+014854|2| 0.405|002.81226|+01.81505| 0.5991| 44.8| 27.6| 26.6| 1.11
003.3919800|+11.4847200|J001334.1+112905|2| 0.780|003.39198|+11.48472| 0.4221|  5.3|  5.4| -4.9| 0.96
003.6283200|+05.2728600|J001430.8+051623|2| 0.551|003.62832|+05.27286| 0.5750|  1.4|  1.1| -7.2| 1.11
003.8509200|+14.5107400|J001524.2+143038|2| 0.544|003.85092|+14.51074| 0.2252|  8.3|  6.2| -3.9| 0.91
004.0807900|+02.6183600|J001619.4+023706|2| 0.714|004.08079|+02.61836| 0.2074| 21.6| 20.1| 18.8| 0.95
004.1144700|+02.4339400|J001627.4+022602|2| 1.381|004.11447|+02.43394| 0.0549| 11.2| 25.4| 24.3| 0.86
005.1029900|+12.3303700|J002024.7+121947|2| 0.319|005.10299|+12.33037| 0.5868|  0.8|  0.5| -7.3| 1.04
005.4133700|+02.6600900|J002139.2+023935|2| 0.622|005.41337|+02.66009| 0.5342|  3.5|  2.9| -6.7| 1.21
006.1766300|+07.5270800|J002442.4+073137|2| 0.381|006.17663|+07.52708| 0.3627|  8.9|  5.3| -5.0| 0.99
006.2805800|+04.3143700|J002507.3+041851|3| 0.688|006.28058|+04.31437| 0.7463|  0.5|  0.4| -7.3| 1.08
006.3246900|+10.0546200|J002517.9+100316|2| 0.603|006.32469|+10.05462| 0.4685|  1.1|  0.9| -7.2| 0.89
006.4156700|+03.6459600|J002539.7+033845|2| 0.631|006.41567|+03.64596| 0.3457|  7.0|  5.8| -4.4| 0.82
006.8563600|+10.1700100|J002725.5+101009|2| 0.383|006.85636|+10.17001| 0.4714|  5.5|  3.3| -6.5| 1.70
007.1498500|+08.9874500|J002835.9+085914|2| 0.294|007.14985|+08.98745| 0.5666| 16.0|  8.5|  4.4| 1.33
007.3703600|+04.4051100|J002928.8+042418|2| 0.550|007.37036|+04.40511| 0.3857|  5.9|  4.4| -5.8| 0.98
008.0119700|+02.9871500|J003202.8+025916|2| 0.408|008.01197|+02.98715| 0.5762|  3.0|  1.9| -7.0| 1.52
008.4823700|+03.4920400|J003355.7+032932|2| 0.535|008.48237|+03.49204| 0.5629|  4.9|  3.6| -6.4| 1.23
008.5850600|+03.7921400|J003420.4+034731|2| 0.539|008.58506|+03.79214| 0.1480|  9.8|  7.3| -1.0| 1.00
008.6271000|+11.6780300|J003430.4+114040|3| 0.543|008.62710|+11.67803| 0.4318| 68.3| 50.6| 50.0| 1.01
008.8768100|+12.6190300|J003530.3+123708|2| 1.138|008.87681|+12.61903| 0.5878| 22.0| 36.2| 35.4| 1.17
009.2795000|+09.1321600|J003707.0+090755|2| 1.001|009.27950|+09.13216| 0.6231|  1.6|  2.2| -7.0| 0.93
009.7620800|+08.4260100|J003902.8+082532|2| 0.953|009.76208|+08.42601| 0.4402|  4.6|  5.9| -4.3| 0.58
009.9996300|+15.0394000|J003959.7+150221|2| 0.744|009.99963|+15.03940| 0.2547|  3.8|  3.7| -6.3| 1.29
010.1062800|+12.2561700|J004025.4+121523|2| 0.766|010.10628|+12.25617| 0.5778| 39.6| 39.5| 38.9| 0.73
010.3347000|+12.6438900|J004120.3+123836|2| 0.500|010.33470|+12.64389| 0.5355|  4.4|  3.1| -6.6| 1.03
011.0312300|+03.3501900|J004407.4+032100|2| 0.619|011.03123|+03.35019| 0.6201| 38.1| 31.3| 30.3| 0.74
011.1839100|+08.1029700|J004444.2+080609|2| 0.795|011.18391|+08.10297| 0.3025| 12.1| 12.5| 10.2| 1.24
011.2091100|+02.1502100|J004450.1+020901|2| 0.472|011.20911|+02.15021| 0.6858|  3.7|  2.5| -6.9| 0.83
011.3277000|+08.6867100|J004518.6+084111|2| 0.597|011.32770|+08.68671| 0.2448| 15.7| 12.5| 10.1| 1.04
011.5240500|+01.5158600|J004605.7+013056|2| 0.682|011.52405|+01.51586| 0.2972|  7.7|  6.8| -2.6| 1.23
011.7968100|+10.5827700|J004711.2+103458|3| 0.556|011.79681|+10.58277| 0.3517|131.9| 99.5| 99.2| 0.89
011.9795200|+03.6631300|J004755.1+033946|2| 0.375|011.97952|+03.66313| 0.4667| 18.6| 11.0|  8.3| 0.68
012.4649300|+03.2484300|J004951.5+031454|2| 0.544|012.46493|+03.24843| 0.4458| 72.3| 53.6| 53.0| 0.83
012.6148900|+09.4555400|J005027.6+092719|2| 1.182|012.61489|+09.45554| 0.4574|  4.5|  7.8|  2.8| 0.82
012.6540800|+03.2304200|J005036.9+031350|2| 0.348|012.65408|+03.23042| 0.4441| 16.4|  9.3|  5.9| 1.17
012.9081700|+09.4457000|J005138.0+092644|2| 0.589|012.90817|+09.44570| 0.4107|  8.8|  6.9| -2.4| 0.69
013.1085700|+12.3254600|J005226.0+121932|2| 0.849|013.10857|+12.32546| 0.4340|  0.9|  1.1| -7.2| 1.07
013.1440900|+03.2798800|J005234.5+031648|2| 0.631|013.14409|+03.27988| 0.3472|  9.9|  8.3|  3.8| 0.91
013.2570100|+04.2481200|J005301.7+041452|2| 0.482|013.25701|+04.24812| 0.7528| 23.8| 16.2| 14.5| 0.98
013.2712400|+05.5300100|J005305.1+053148|2| 0.434|013.27124|+05.53001| 0.4864|  3.4|  2.2| -7.0| 1.02
013.4363300|+01.9560600|J005344.8+015719|2| 0.350|013.43633|+01.95606| 0.3794| 29.3| 16.8| 15.1| 0.54
014.3249600|+10.2823700|J005717.9+101657|2| 0.561|014.32496|+10.28237| 0.4187|  4.4|  3.3| -6.5| 0.65
014.3662000|+02.1596000|J005727.8+020934|2| 0.598|014.36620|+02.15960| 0.2924| 14.3| 11.4|  8.7| 1.01
014.8258700|+02.3440500|J005918.1+022038|2| 0.678|014.82587|+02.34405| 0.6228|  5.4|  4.8| -5.5| 0.85
014.8816800|+02.9580800|J005931.6+025729|2| 0.457|014.88168|+02.95808| 0.4530| 46.6| 30.8| 29.9| 0.72
015.4606500|+01.5153500|J010150.5+013055|2| 0.665|015.46065|+01.51535| 0.7099| 11.7| 10.2|  7.2| 0.77
015.5291200|+09.5743500|J010206.9+093427|2| 0.520|015.52912|+09.57435| 0.2821| 29.0| 20.8| 19.5| 1.14
015.5896800|+01.8471500|J010221.5+015049|2| 0.547|015.58968|+01.84715| 0.6621| 17.5| 13.1| 10.8| 0.70
015.8173400|+10.3860300|J010316.1+102310|2| 0.451|015.81734|+10.38603| 0.4662|  8.4|  5.5| -4.8| 0.84
015.9989400|+08.8494800|J010359.7+085059|3| 0.612|015.99894|+08.84948| 0.1230| 15.2| 12.4| 10.0| 0.94
016.1001200|+02.6619600|J010424.0+023943|2| 0.563|016.10012|+02.66196| 0.3643| 30.4| 23.1| 21.9| 1.06
016.6617400|+05.0333400|J010638.8+050200|2| 0.541|016.66174|+05.03334| 0.2129|  5.5|  4.1| -6.1| 1.25
016.8019700|+11.6338000|J010712.4+113801|2| 0.523|016.80197|+11.63380| 0.5362| 26.5| 19.1| 17.6| 1.69
016.8244700|+01.7842900|J010717.8+014703|2| 0.349|016.82447|+01.78429| 0.6300|  1.1|  0.6| -7.3| 1.30
016.8426100|+12.2149500|J010722.2+121253|3| 1.419|016.84261|+12.21495| 0.2047| 18.2| 43.5| 42.9| 1.16
016.9932700|+02.8521800|J010758.3+025107|2| 0.506|016.99327|+02.85218| 0.3217|  2.0|  1.4| -7.1| 1.14
017.1075700|+06.1279400|J010825.8+060740|2| 1.220|017.10757|+06.12794| 0.5113|  4.8|  8.8|  4.9| 1.18
017.9492100|+02.8507500|J011147.7+025103|2| 0.386|017.94921|+02.85075| 0.5591| 14.1|  8.5|  4.3| 0.83
019.6671800|+12.0928800|J011840.0+120532|2| 0.588|019.66718|+12.09288| 0.3767| 45.7| 36.0| 35.3| 0.89
019.8790800|+11.6188700|J011930.9+113708|2| 0.278|019.87908|+11.61887| 0.3973| 72.4| 37.7| 36.9| 0.32
020.1907500|+03.2676500|J012045.7+031603|2| 0.725|020.19075|+03.26765| 0.6475| 13.3| 12.6| 10.2| 1.17
020.4671800|+12.3902400|J012152.0+122324|2| 0.478|020.46718|+12.39024| 0.5228|  4.5|  3.1| -6.6| 0.85
021.4888800|+05.6123400|J012557.3+053644|2| 0.466|021.48888|+05.61234| 0.7347|  6.4|  4.3| -5.9| 1.14
021.5380200|+10.2342600|J012609.0+101403|2| 0.786|021.53802|+10.23426| 0.3605|  8.2|  8.4|  4.2| 0.91
022.1048700|+12.1555200|J012825.1+120920|2| 0.682|022.10487|+12.15552| 0.2835| 29.5| 26.3| 25.3| 0.84
022.1904800|+12.8549100|J012845.6+125117|3| 0.633|022.19048|+12.85491| 0.2499| 25.1| 21.0| 19.6| 0.97
022.2303100|+09.4430900|J012855.2+092634|2| 0.660|022.23031|+09.44309| 0.5934| 15.5| 13.5| 11.3| 1.42
022.5463000|+09.9187600|J013011.1+095507|2| 0.444|022.54630|+09.91876| 0.7295| 69.4| 45.0| 44.4| 1.02
022.9381600|+11.1110200|J013145.1+110639|2| 0.698|022.93816|+11.11102| 0.4349| 10.9| 10.0|  6.8| 0.96
022.9701600|+11.7314700|J013152.9+114353|2| 0.744|022.97016|+11.73147| 0.5617|  7.0|  6.8| -2.7| 1.13
023.6562100|+07.4237900|J013437.4+072525|2| 0.261|023.65621|+07.42379| 0.5014| 19.1|  9.7|  6.4| 0.84
023.7249800|+07.3809400|J013453.9+072251|2| 0.241|023.72498|+07.38094| 0.6576|  0.1|  0.0| -7.3| 0.97
023.8516600|+10.0815300|J013524.3+100453|2| 0.712|023.85166|+10.08153| 0.3645| 22.2| 20.6| 19.3| 1.55
024.5236200|+11.3010400|J013805.6+111804|2| 0.367|024.52362|+11.30104| 0.5899|  7.5|  4.4| -5.8| 1.64
025.1575600|+07.6162700|J014037.8+073658|2| 0.889|025.15756|+07.61627| 0.5036|  0.8|  0.9| -7.2| 0.87
025.3421200|+06.1640800|J014122.0+060950|2| 0.512|025.34212|+06.16408| 0.4794|  0.2|  0.1| -7.3| 1.04
025.4730700|+03.4997000|J014153.5+032958|2| 0.423|025.47307|+03.49970| 0.4701|  9.0|  5.7| -4.6| 0.99
025.5409800|+11.4279200|J014209.8+112540|2| 0.596|025.54098|+11.42792| 0.3224| 11.0|  8.7|  4.8| 1.33
025.5606300|+12.9672600|J014214.5+125801|3| 0.424|025.56063|+12.96726| 0.5780| 14.7|  9.3|  5.7| 1.15
025.9413900|+06.8430400|J014345.9+065034|2| 0.380|025.94139|+06.84304| 0.3520|  4.5|  2.7| -6.8| 0.64
026.3988600|+11.6226500|J014535.7+113721|2| 0.396|026.39886|+11.62265| 0.2626| 21.5| 13.1| 10.9| 0.72
026.5125500|+04.5036100|J014603.0+043012|2| 0.470|026.51255|+04.50361| 0.5010| 37.6| 25.3| 24.1| 0.74
027.1663600|+09.7677100|J014840.0+094604|2| 0.491|027.16636|+09.76771| 0.2482|  1.7|  1.2| -7.2| 0.51
027.2442400|+03.0398600|J014858.6+030224|2| 0.399|027.24424|+03.03986| 0.4868|  1.5|  0.9| -7.2| 1.11
027.4595800|+06.5073400|J014950.2+063027|2| 0.646|027.45958|+06.50734| 0.2776| 29.0| 24.7| 23.6| 1.30
027.4915500|+06.9757000|J014957.9+065832|2| 0.664|027.49155|+06.97570| 0.6941|  9.9|  8.6|  4.6| 1.29
027.6507500|+12.1133400|J015036.1+120648|2| 0.736|027.65075|+12.11334| 0.3592|  7.6|  7.3| -0.7| 0.99
027.7783800|+13.1840900|J015106.8+131102|2| 0.476|027.77838|+13.18409| 0.3575|  4.5|  3.1| -6.6| 0.93
027.8381900|+12.8715100|J015121.1+125217|2| 0.894|027.83819|+12.87151| 0.2498|  2.5|  3.0| -6.7| 0.94
027.8926100|+03.5234500|J015134.1+033125|2| 0.544|027.89261|+03.52345| 0.6647|  3.0|  2.2| -7.0| 0.85
028.5042100|+09.5884200|J015400.9+093518|2| 0.482|028.50421|+09.58842| 0.6501| 17.7| 12.1|  9.6| 1.26
028.5553200|+11.7242300|J015413.3+114326|2| 0.553|028.55532|+11.72423| 0.2317|  6.5|  4.9| -5.4| 1.65
028.6963300|+06.8529000|J015447.1+065110|3| 0.717|028.69633|+06.85290| 0.2320| 14.1| 13.2| 10.9| 0.80
028.8793300|+06.4646500|J015531.0+062752|2| 0.263|028.87933|+06.46465| 0.2323|  5.7|  2.9| -6.7| 1.03
029.4723700|+05.5077700|J015753.3+053028|2| 0.518|029.47237|+05.50777| 0.4624|  9.2|  6.6| -3.1| 1.27
029.5564900|+05.8290100|J015813.5+054944|2| 0.312|029.55649|+05.82901| 0.5521| 17.7|  9.6|  6.3| 0.69
029.9057600|+05.7865700|J015937.4+054711|2| 0.436|029.90576|+05.78657| 0.5900|  7.2|  4.6| -5.7| 1.11
030.4300400|+12.5924200|J020143.1+123532|2| 0.684|030.43004|+12.59242| 0.3816|  1.5|  1.3| -7.2| 1.09
030.4996500|+03.7293200|J020159.9+034345|2| 0.510|030.49965|+03.72932| 0.1656|117.3| 83.2| 82.7| 5.15
031.4442100|+06.5090000|J020546.6+063032|2| 0.412|031.44421|+06.50900| 0.4756|  4.2|  2.6| -6.8| 0.88
032.2698000|+07.8345900|J020904.7+075004|2| 0.882|032.26980|+07.83459| 0.1944|  6.1|  7.2| -1.5| 0.89
032.5330100|+02.7953600|J021007.9+024743|2| 0.307|032.53301|+02.79536| 0.4501| 71.7| 38.7| 38.1| 1.13
032.9779500|+02.4905800|J021154.7+022925|2| 0.253|032.97795|+02.49058| 0.2175| 89.3| 44.9| 44.3| 0.98
033.4013400|+05.3052900|J021336.3+051820|3| 0.994|033.40134|+05.30529| 0.3395| 14.6| 19.7| 18.3| 0.79
033.4437900|+01.6635700|J021346.5+013948|2| 0.436|033.44379|+01.66357| 0.0949| 53.7| 34.5| 33.7| 1.01
033.9877800|+07.1411400|J021557.0+070828|2| 0.395|033.98778|+07.14114| 0.1149|  8.1|  5.0| -5.3| 0.97
035.4229600|+04.7295900|J022141.5+044346|2| 0.793|035.42296|+04.72959| 0.3456| 11.3| 11.7|  9.2| 1.26
036.5519000|+02.5520700|J022612.4+023307|2| 0.303|036.55190|+02.55207| 0.1446|  0.5|  0.3| -7.3| 1.01
036.5636100|+02.0873000|J022615.2+020514|2| 0.912|036.56361|+02.08730| 0.4245|  8.1|  9.9|  6.6| 1.07
037.0355000|+01.6505900|J022808.5+013902|3| 0.591|037.03550|+01.65059| 0.6715| 34.5| 27.3| 26.3| 1.06
037.0916000|+07.0860300|J022821.9+070509|2| 0.783|037.09160|+07.08603| 0.5216|  1.7|  1.7| -7.1| 0.86
038.0447900|+07.1919100|J023210.6+071130|2| 0.514|038.04479|+07.19191| 0.4822| 13.2|  9.4|  5.9| 2.14
038.1632800|+04.3627400|J023239.1+042145|2| 0.602|038.16328|+04.36274| 0.0679|  3.2|  2.6| -6.8| 0.93
039.7389500|+05.2222000|J023857.3+051319|3| 0.706|039.73895|+05.22220| 0.3031| 31.2| 28.7| 27.6| 1.44
040.2107700|+06.1447600|J024050.5+060841|2| 0.301|040.21077|+06.14476| 0.4747| 21.5| 11.5|  8.9| 0.95
040.5267600|+03.5159500|J024206.4+033057|3| 1.006|040.52676|+03.51595| 0.4058|  1.6|  2.1| -7.0| 1.28
041.0097400|+05.6612000|J024402.3+053939|2| 0.496|041.00974|+05.66120| 0.2778|  9.9|  6.9| -2.3| 1.22
041.8018700|+04.4343500|J024712.4+042603|3| 0.662|041.80187|+04.43435| 0.1406| 31.9| 27.7| 26.6| 1.03
041.9233500|+03.7917300|J024741.5+034729|2| 0.235|041.92335|+03.79173| 0.4326| 35.8| 17.6| 16.0| 0.90
042.0180200|+05.3693300|J024804.2+052209|2| 0.545|042.01802|+05.36933| 0.7139|  7.9|  5.9| -4.3| 1.66
042.5609500|+03.0749700|J025014.6+030429|2| 0.589|042.56095|+03.07497| 0.6434|  5.9|  4.7| -5.6| 1.00
043.0062100|+06.9090000|J025201.5+065432|2| 0.312|043.00621|+06.90900| 0.5219|  1.5|  0.8| -7.3| 1.44
043.0905900|+06.0433500|J025221.7+060235|2| 0.663|043.09059|+06.04335| 0.1317|  3.9|  3.4| -6.4| 0.94
043.2242600|+05.0403200|J025253.8+050225|2| 0.480|043.22426|+05.04032| 0.5457|  4.8|  3.3| -6.5| 0.67
047.5959100|+05.9312800|J031023.0+055552|2| 0.789|047.59591|+05.93128| 0.5816|  6.3|  6.5| -3.4| 0.94
049.8233900|+06.3731800|J031917.5+062223|2| 0.426|049.82339|+06.37318| 0.3746| 14.4|  9.2|  5.5| 0.88
053.7741200|+04.3379700|J033505.7+042016|2| 0.402|053.77412|+04.33797| 0.3115| 51.9| 31.8| 31.0| 1.11
057.1645600|+03.5204000|J034839.5+033113|2| 0.337|057.16456|+03.52040| 0.3163| 17.3|  9.8|  6.5| 1.21
107.5499300|+40.5275500|J071011.9+403138|3| 0.709|107.54993|+40.52755| 0.4411| 38.6| 35.7| 34.9| 0.79
108.5493100|+41.0203700|J071411.8+410113|2| 0.506|108.54931|+41.02037| 0.3237|  4.5|  3.2| -6.6| 0.89
108.9984900|+40.6661400|J071559.6+403957|3| 0.762|108.99849|+40.66614| 0.3884|  0.7|  0.7| -7.2| 0.97
109.2268700|+31.2037600|J071654.4+311213|2| 0.656|109.22687|+31.20376| 0.3617| 13.8| 11.9|  9.4| 0.68
109.5728800|+41.7794100|J071817.4+414646|2| 0.496|109.57288|+41.77941| 0.3587|  0.8|  0.6| -7.3| 0.85
110.0657400|+38.7768200|J072015.8+384637|2| 0.804|110.06574|+38.77682| 0.4105|  2.7|  2.9| -6.7| 1.09
110.5188800|+36.6407200|J072204.5+363826|2| 1.145|110.51888|+36.64072| 0.1607| 17.9| 29.7| 28.4| 1.95
111.1693100|+34.3181500|J072440.6+341905|2| 0.441|111.16931|+34.31815| 0.6456| 13.0|  8.4|  4.2| 1.06
111.2146300|+34.8814600|J072451.5+345253|2| 0.467|111.21463|+34.88146| 0.4623|  3.3|  2.2| -7.0| 0.95
111.3192900|+35.6885400|J072516.6+354118|2| 0.562|111.31929|+35.68854| 0.1631|  5.8|  4.4| -5.8| 1.38
111.3316400|+32.6115300|J072519.5+323641|2| 0.583|111.33164|+32.61153| 0.2045|  6.3|  4.9| -5.4| 1.03
111.3476500|+39.9367600|J072523.5+395611|2| 0.502|111.34765|+39.93676| 0.4037| 31.2| 21.9| 20.6| 1.32
111.6208700|+26.6660400|J072629.0+263957|2| 0.426|111.62087|+26.66604| 0.2732| 11.3|  7.1| -1.6| 1.03
111.7247700|+39.6636000|J072653.9+393948|2| 0.607|111.72477|+39.66360| 0.5169|  7.6|  6.1| -4.0| 1.16
111.9864000|+42.5112400|J072756.7+423040|2| 0.396|111.98640|+42.51124| 0.2022| 19.2| 11.7|  9.1| 0.96
112.0629000|+35.3092000|J072815.0+351833|2| 0.311|112.06290|+35.30920| 0.3653| 52.0| 28.3| 27.3| 1.43
112.5650600|+27.4100600|J073015.6+272436|2| 0.521|112.56506|+27.41006| 0.2866|  3.6|  2.6| -6.8| 1.03
112.6446500|+36.6248200|J073034.7+363729|2| 0.244|112.64465|+36.62482| 0.4510|  8.3|  4.1| -6.0| 0.55
112.7588400|+34.2638500|J073102.1+341549|2| 0.899|112.75884|+34.26385| 0.2747|  1.8|  2.1| -7.0| 0.95
112.9276600|+32.7743500|J073142.7+324627|2| 0.521|112.92766|+32.77435| 0.5769|  2.2|  1.6| -7.1| 1.16
112.9386000|+32.2676900|J073145.2+321603|2| 0.646|112.93860|+32.26769| 0.4951|  2.9|  2.5| -6.9| 1.01
113.1786900|+38.1712400|J073242.9+381016|2| 0.364|113.17869|+38.17124| 0.6123| 50.9| 29.7| 28.8| 1.02
113.2725000|+33.0255300|J073305.3+330132|2| 0.642|113.27250|+33.02553| 0.5840| 24.1| 20.4| 19.0| 1.12
113.4608200|+23.4701400|J073350.5+232812|3| 1.295|113.46082|+23.47014| 0.2441|  0.1|  0.1| -7.3| 1.12
113.4643100|+39.0963000|J073351.4+390546|2| 0.398|113.46431|+39.09630| 0.5681| 18.3| 11.2|  8.5| 1.02
113.6010500|+40.7200200|J073424.2+404311|2| 0.355|113.60105|+40.72002| 0.6114| 10.6|  6.1| -4.0| 0.75
113.7249200|+21.7131100|J073453.9+214246|2| 0.348|113.72492|+21.71311| 0.4516| 28.4| 16.2| 14.5| 1.35
113.7424600|+40.2284600|J073458.2+401342|2| 0.495|113.74246|+40.22846| 0.4358| 18.7| 13.0| 10.7| 0.95
113.8412300|+43.7389700|J073522.0+434420|2| 0.512|113.84123|+43.73897| 0.5419| 10.3|  7.3| -0.6| 0.85
113.9009300|+21.6220500|J073536.1+213719|2| 0.331|113.90093|+21.62205| 0.4412|  0.2|  0.1| -7.3| 1.51
113.9048400|+32.1244100|J073537.2+320727|2| 0.487|113.90484|+32.12441| 0.5887|175.2|120.5|120.3| 7.12
113.9185000|+36.3200900|J073540.4+361912|3| 0.452|113.91850|+36.32009| 0.1202|119.8| 78.6| 78.3| 1.09
114.0408800|+19.1725300|J073609.7+191020|2| 0.260|114.04088|+19.17253| 0.6271|  0.9|  0.5| -7.3| 0.90
114.0957400|+39.0452200|J073623.0+390242|2| 0.449|114.09574|+39.04522| 0.4280| 43.7| 28.6| 27.6| 0.52
114.2065300|+21.1751500|J073649.5+211030|2| 0.611|114.20653|+21.17515| 0.4464|  1.9|  1.5| -7.2| 0.85
114.3739100|+40.3321700|J073729.7+401955|2| 0.447|114.37391|+40.33217| 0.3905| 13.8|  9.0|  5.3| 0.70
114.7038000|+32.3379200|J073848.9+322016|2| 0.661|114.70380|+32.33792| 0.5179| 23.6| 20.5| 19.1| 1.82
114.7223800|+21.3459600|J073853.2+212044|2| 0.473|114.72238|+21.34596| 0.0912| 28.2| 19.0| 17.6| 0.81
114.7343700|+42.5735700|J073856.2+423425|2| 0.351|114.73437|+42.57357| 0.6056|  4.2|  2.4| -6.9| 1.10
114.8035000|+18.6533100|J073912.8+183911|2| 0.398|114.80350|+18.65331| 0.3327|  2.6|  1.6| -7.1| 0.85
114.8681500|+41.3760000|J073928.3+412232|3| 1.188|114.86815|+41.37600| 0.2690| 10.5| 18.5| 17.0| 0.87
114.8691000|+40.4024900|J073928.6+402408|2| 0.610|114.86910|+40.40249| 0.2898|  4.1|  3.4| -6.5| 1.14
114.9390600|+24.8595400|J073945.3+245134|2| 1.395|114.93906|+24.85954| 0.4229|  4.3|  9.8|  6.6| 0.95
115.0168600|+21.2497400|J074004.0+211458|2| 0.555|115.01686|+21.24974| 0.5270| 17.6| 13.2| 11.0| 0.78
115.1647900|+30.4236700|J074039.5+302525|3| 0.447|115.16479|+30.42367| 0.3340|116.1| 75.6| 75.1| 1.16
115.1760500|+35.8608300|J074042.2+355139|3| 1.175|115.17605|+35.86083| 0.2162|  1.1|  2.0| -7.0| 0.96
115.6020600|+33.9773000|J074224.5+335838|2| 0.432|115.60206|+33.97730| 0.6458|  6.0|  3.8| -6.2| 1.09
115.7939800|+19.9361300|J074310.5+195609|2| 0.784|115.79398|+19.93613| 0.1719|  4.9|  5.0| -5.4| 1.16
115.8004900|+23.6348100|J074312.0+233805|2| 0.533|115.80049|+23.63481| 0.3947| 26.7| 19.5| 18.0| 0.96
115.8275500|+23.3613700|J074318.6+232139|2| 0.401|115.82755|+23.36137| 0.3329| 20.0| 12.3|  9.9| 0.87
115.8503200|+23.6072300|J074324.0+233625|2| 0.550|115.85032|+23.60723| 0.4168| 13.5| 10.1|  7.0| 0.73
115.8794500|+37.9859100|J074331.0+375909|3| 0.461|115.87945|+37.98591| 0.5726|  9.5|  6.3| -3.7| 0.53
116.1949900|+32.7906400|J074446.7+324726|2| 0.973|116.19499|+32.79064| 0.2131| 13.4| 17.6| 15.9| 1.54
116.2476600|+16.9847000|J074459.4+165903|2| 0.626|116.24766|+16.98470| 0.3170| 77.3| 64.0| 63.6| 1.48
116.2620900|+25.4161000|J074502.8+252457|2| 0.611|116.26209|+25.41610| 0.4038| 28.5| 23.1| 22.0| 1.11
116.2995000|+33.9825400|J074511.9+335856|2| 0.397|116.29950|+33.98254| 0.6107|  0.1|  0.0| -7.3| 0.67
116.6130200|+37.3250300|J074627.1+371929|3| 0.748|116.61302|+37.32503| 0.5454| 17.3| 16.9| 15.2| 0.72
116.6236500|+18.9032000|J074629.7+185410|3| 0.529|116.62365|+18.90320| 0.3290| 37.9| 27.5| 26.6| 0.56
116.6978300|+35.2373400|J074647.4+351414|3| 0.760|116.69783|+35.23734| 0.3119|  5.3|  5.3| -5.1| 0.69
116.7167900|+33.6628900|J074652.0+333946|3| 0.411|116.71679|+33.66289| 0.4552|  0.7|  0.4| -7.3| 1.09
116.8154200|+30.1662200|J074715.7+300958|2| 0.328|116.81542|+30.16622| 0.2350|  2.1|  1.1| -7.2| 1.13
116.8266400|+21.1581700|J074718.3+210931|2| 0.442|116.82664|+21.15817| 0.2382| 49.2| 31.9| 31.0| 0.86
116.8430500|+50.6299700|J074722.3+503747|2| 0.507|116.84305|+50.62997| 0.6432|  0.4|  0.3| -7.3| 0.85
116.9780100|+40.1437300|J074754.7+400837|2| 0.649|116.97801|+40.14373| 0.5048|  5.9|  5.1| -5.3| 0.91
117.0906100|+36.9467000|J074821.7+365648|2| 0.395|117.09061|+36.94670| 0.4614|  1.9|  1.1| -7.2| 1.14
117.3295100|+20.1316000|J074919.0+200753|2| 0.912|117.32951|+20.13160| 0.3684| 14.6| 17.7| 16.2| 1.36
117.4111800|+30.9087300|J074938.7+305432|2| 0.384|117.41118|+30.90873| 0.5939|  1.5|  0.9| -7.2| 1.07
117.5869400|+24.1972100|J075020.8+241150|2| 0.447|117.58694|+24.19721| 0.3361| 19.7| 12.9| 10.6| 0.87
117.6291500|+24.2108400|J075031.0+241238|3| 0.830|117.62915|+24.21084| 0.3920| 42.8| 46.5| 45.9| 0.88
117.6341600|+49.6224400|J075032.1+493720|2| 0.588|117.63416|+49.62244| 0.3994|  2.1|  1.6| -7.1| 1.01
117.7071700|+17.6943300|J075049.7+174139|2| 0.895|117.70717|+17.69433| 0.1823| 39.7| 47.1| 46.2| 1.12
