FCG|RAJ2000|DEJ2000|Size|RAc|DEc|Group|Com|Tno
 |"h:m:s"|"d:m:s"|arcmin|"h:m:s"|"d:m:s"| | |
----------------|------------|------------|-----|------------|------------|------|------------------------------------------------------------------------------------------------------------------------|--
J000330.7+002756|00 03 31.218|+00 28 04.25| 1.12|00 03 30.731|+00 27 56.09|000455|wat                                                                                                                     | 1
J002042.0-112103|00 20 41.243|-11 21 07.36| 0.95|00 20 42.045|-11 21 03.42|002611|nat dd?, ring nearby                                                                                                    | 1
J004012.8+012542|00 40 13.004|+01 26 03.05| 1.99|00 40 12.891|+01 25 42.06|004994|wat dd?                                                                                                                 | 1
J004150.2-092548|00 41 51.461|-09 25 47.99| 0.64|00 41 50.271|-09 25 48.92|005236|nat dd                                                                                                                  | 1
J004152.1+002837|00 41 51.586|+00 28 36.22| 0.80|00 41 52.109|+00 28 37.37|005238|nat                                                                                                                     | 1
J005602.6-012004|00 56 01.880|-01 20 25.26| 0.92|00 56 02.666|-01 20 04.82|007000|nat prototypical 0053-015 in A119                                                                                       | 1
J010236.5-005007|01 02 36.812|-00 50 00.99| 0.94|01 02 36.579|-00 50 07.69|007807|wat int starwars, first system of group                                                                                 | 1
J010242.4-005032|01 02 41.686|-00 50 27.71| 1.16|01 02 42.429|-00 50 32.98|007807|wat int starwars, second system of group                                                                                | 1
J010403.0-002440|01 04 04.046|-00 24 32.84| 0.76|01 04 03.040|-00 24 40.94|007991|nat                                                                                                                     | 1
J011425.5+002932|01 14 25.792|+00 29 36.77| 1.05|01 14 25.594|+00 29 32.59|009186|wat                                                                                                                     | 1
J011900.1-100346|01 19 01.539|-10 03 29.08| 1.09|01 19 00.162|-10 03 46.55|009752|nat                                                                                                                     | 1
J012947.0+004633|01 29 47.629|+00 46 32.61| 0.95|01 29 47.038|+00 46 33.45|011039|wat bifurcation                                                                                                         | 1
J013134.5+003341|01 31 34.481|+00 33 33.12| 1.35|01 31 34.533|+00 33 41.77|011265|wat distorted, core id ambiguous                                                                                        | 1
J013247.1+011545|01 32 46.834|+01 15 54.77| 1.49|01 32 47.163|+01 15 45.45|011430|nat                                                                                                                     | 1
J021052.2-063333|02 10 52.275|-06 33 35.99| 1.26|02 10 52.223|-06 33 33.63|017193|nat distorted int                                                                                                       | 1
J021234.9-082042|02 12 35.093|-08 20 39.80| 0.54|02 12 34.934|-08 20 42.16|017581|nat mg                                                                                                                  | 1
J021619.7-024433|02 16 21.563|-02 44 15.61| 3.36|02 16 19.753|-02 44 33.59|018482|nat/wat                                                                                                                 | 1
J024558.4-064859|02 45 58.031|-06 48 59.23| 1.32|02 45 58.451|-06 48 59.96|022425|wat                                                                                                                     | 1
J024612.8-084735|02 46 12.407|-08 47 54.73| 0.84|02 46 12.819|-08 47 35.89|022456|nat                                                                                                                     | 1
J031147.3+010846|03 11 47.767|+01 08 51.80| 0.26|03 11 47.362|+01 08 46.64|024970|nat                                                                                                                     | 1
J070029.9+494647|07 00 30.262|+49 46 51.45| 0.43|07 00 29.914|+49 46 47.41|026563|wat                                                                                                                     | 1
J070723.0+592725|07 07 24.610|+59 27 10.79| 3.68|07 07 23.091|+59 27 25.65|028338|wat w? mg                                                                                                               | 1
J070759.2+444906|07 07 59.675|+44 49 06.07| 1.39|07 07 59.276|+44 49 06.02|028563|wat dd ring-lobe                                                                                                        | 1
J070825.8+540838|07 08 25.646|+54 08 51.58| 1.51|07 08 25.861|+54 08 38.84|028693|nat/wat mg ring-lobe?, wat component?                                                                                   | 1
J071406.0+510000|07 14 05.715|+51 00 07.49| 0.64|07 14 06.006|+51 00 00.20|030860|wat                                                                                                                     | 1
J071424.6+401559|07 14 23.649|+40 16 04.77| 0.76|07 14 24.611|+40 15 59.29|030985|nat                                                                                                                     | 1
J072106.9+363903|07 21 07.948|+36 39 14.26| 1.04|07 21 06.968|+36 39 03.26|034421|wat                                                                                                                     | 1
J072109.8+531237|07 21 11.665|+53 12 43.38| 1.20|07 21 09.856|+53 12 37.39|034428|wat first system of group                                                                                               | 1
J072115.5+531411|07 21 15.169|+53 14 07.53| 0.78|07 21 15.520|+53 14 11.46|034428|wat second system of group                                                                                              | 1
J072431.5+501052|07 24 31.382|+50 10 54.30| 1.28|07 24 31.572|+50 10 52.85|036444|wat                                                                                                                     | 1
J072725.1+310934|07 27 25.442|+31 09 26.21| 1.61|07 27 25.140|+31 09 34.60|038212|wat                                                                                                                     | 1
J072930.2+594952|07 29 29.415|+59 49 42.26| 0.50|07 29 30.246|+59 49 52.79|039493|nat                                                                                                                     | 1
J073229.7+374420|07 32 29.818|+37 44 18.26| 0.57|07 32 29.763|+37 44 20.16|041299|wat interacting?                                                                                                        | 1
J073441.9+361129|07 34 42.255|+36 11 34.96| 0.51|07 34 41.933|+36 11 29.57|042662|nat                                                                                                                     | 1
J073539.8+251020|07 35 40.204|+25 10 14.53| 1.28|07 35 39.804|+25 10 20.38|043263|wat                                                                                                                     | 1
J073540.4+361912|07 35 40.624|+36 19 18.54| 0.30|07 35 40.471|+36 19 12.76|043290|nat tri unu                                                                                                             | 1
J073618.0+241043|07 36 18.534|+24 11 04.67| 0.90|07 36 18.001|+24 10 43.90|043721|nat                                                                                                                     | 1
J073849.8+415907|07 38 48.769|+41 59 23.84| 0.73|07 38 49.895|+41 59 07.86|045405|nat                                                                                                                     | 1
J074115.4+163254|07 41 15.812|+16 32 56.61| 0.32|07 41 15.498|+16 32 54.13|047084|wat arc int, first system of group                                                                                      | 1
J074118.0+163156|07 41 18.603|+16 31 52.20| 0.66|07 41 18.029|+16 31 56.82|047084|nat int, second system of group                                                                                         | 1
J074143.0+174056|07 41 43.106|+17 41 12.99| 1.45|07 41 43.041|+17 40 56.96|047390|nat                                                                                                                     | 1
J074305.9+271012|07 43 05.791|+27 10 26.42| 0.57|07 43 05.965|+27 10 12.27|048441|wat                                                                                                                     | 1
J074310.8+520337|07 43 09.866|+52 03 46.16| 0.54|07 43 10.868|+52 03 37.53|048506|nat ring?                                                                                                               | 1
J074639.3+465240|07 46 39.969|+46 52 27.31| 0.82|07 46 39.374|+46 52 40.08|051101|nat mg tri unu                                                                                                          | 1
J074640.0+465214|07 46 39.969|+46 52 27.31| 0.82|07 46 40.069|+46 52 14.57|051101|wat mg tri unu                                                                                                          | 1
J074757.7+372638|07 47 57.497|+37 26 26.83| 0.53|07 47 57.770|+37 26 38.43|052062|wat mg                                                                                                                  | 1
J074926.1+520230|07 49 28.279|+52 02 21.48| 1.68|07 49 26.197|+52 02 30.26|053115|nat int unu                                                                                                             | 1
J075347.2+230150|07 53 47.240|+23 01 56.92| 0.60|07 53 47.232|+23 01 50.95|056473|nat                                                                                                                     | 1
J075641.5+603013|07 56 40.800|+60 30 23.12| 0.97|07 56 41.541|+60 30 13.52|058735|nat, w component?, int                                                                                                  | 1
J080317.0+244059|08 03 16.033|+24 40 37.85| 1.04|08 03 17.021|+24 40 59.62|064113|wat hook/ring?                                                                                                          | 1
J080337.3+105116|08 03 37.186|+10 50 45.57| 1.38|08 03 37.378|+10 51 16.46|064386|wat                                                                                                                     | 1
J080431.5+192217|08 04 31.429|+19 22 12.93| 0.65|08 04 31.523|+19 22 17.40|065096|wat                                                                                                                     | 1
J080611.3+253138|08 06 12.067|+25 31 35.31| 0.65|08 06 11.336|+25 31 38.39|066527|nat ring int                                                                                                            | 1
J080720.7+141620|08 07 21.382|+14 16 19.08| 0.53|08 07 20.771|+14 16 20.91|067648|wat                                                                                                                     | 1
J080842.9+055044|08 08 44.209|+05 50 47.41| 0.89|08 08 42.910|+05 50 44.14|068826|nat mg                                                                                                                  | 1
J081544.2+371017|08 15 45.541|+37 10 35.52| 1.20|08 15 44.259|+37 10 17.01|075315|wat                                                                                                                     | 1
J081652.7+413332|08 16 52.392|+41 33 26.50| 0.35|08 16 52.746|+41 33 32.23|076389|wat                                                                                                                     | 1
J081659.5+571627|08 16 59.900|+57 16 34.67| 0.61|08 16 59.515|+57 16 27.59|076482|wat                                                                                                                     | 1
J081801.3+495610|08 18 00.929|+49 56 01.86| 0.63|08 18 01.336|+49 56 10.51|077481|wat                                                                                                                     | 1
J081803.7+543708|08 18 06.098|+54 37 27.08| 2.13|08 18 03.735|+54 37 08.50|077461|wat dd? ring-lobe                                                                                                       | 1
J081939.4+574609|08 19 39.746|+57 45 59.92| 0.52|08 19 39.431|+57 46 09.22|079050|wat                                                                                                                     | 1
J082444.7+520033|08 24 43.728|+52 00 26.69| 0.42|08 24 44.757|+52 00 33.00|084045|nat                                                                                                                     | 1
J082718.2+463510|08 27 17.930|+46 35 28.84| 1.75|08 27 18.207|+46 35 10.50|086460|nat/wat                                                                                                                 | 1
J082835.1+322821|08 28 34.961|+32 28 28.03| 0.87|08 28 35.117|+32 28 21.39|087751|wat                                                                                                                     | 1
J082839.5+243654|08 28 39.697|+24 37 05.84| 0.66|08 28 39.504|+24 36 54.44|087828|wat, if separate systems                                                                                                | 1
J082843.2+243605|08 28 43.685|+24 36 03.09| 0.76|08 28 43.248|+24 36 05.51|087913|nat, if separate system                                                                                                 | 1
J082844.4+243729|08 28 43.271|+24 37 02.82| 2.22|08 28 44.420|+24 37 29.58|087828|nat, if single system                                                                                                   | 1
J082910.5+632229|08 29 10.503|+63 22 37.61| 0.36|08 29 10.555|+63 22 29.43|088315|nat                                                                                                                     | 1
J083931.0+594956|08 39 30.292|+59 49 47.27| 0.60|08 39 31.033|+59 49 56.77|098827|nat                                                                                                                     | 1
J084122.7+611228|08 41 24.692|+61 12 16.34| 1.85|08 41 22.758|+61 12 28.12|100723|nat mg tri distorted int                                                                                                | 1
J084132.7-020318|08 41 32.040|-02 03 03.00| 1.14|08 41 32.722|-02 03 18.73|100880|nat/wat                                                                                                                 | 1
J084445.3+212932|08 44 45.196|+21 29 28.86| 0.71|08 44 45.339|+21 29 32.48|104321|wat dd?                                                                                                                 | 1
J084655.0-013142|08 46 54.573|-01 31 48.28| 0.63|08 46 55.083|-01 31 42.94|106645|nat                                                                                                                     | 1
J084934.4+282150|08 49 33.855|+28 22 10.60| 0.84|08 49 34.455|+28 21 50.97|109514|wat                                                                                                                     | 1
J085052.9+134857|08 50 53.274|+13 49 16.11| 1.02|08 50 52.961|+13 48 57.23|110924|nat                                                                                                                     | 1
J085105.3+085107|08 51 05.478|+08 51 18.87| 1.41|08 51 05.314|+08 51 07.24|111111|nat                                                                                                                     | 1
J085756.7+170445|08 57 56.707|+17 04 34.66| 0.90|08 57 56.726|+17 04 45.10|118471|nat ring?                                                                                                               | 1
J085758.3+170333|08 57 59.241|+17 03 30.39| 0.36|08 57 58.352|+17 03 33.27|118471|nat ring?                                                                                                               | 1
J085815.2+505303|08 58 15.260|+50 53 25.65| 1.90|08 58 15.259|+50 53 03.39|118767|nat                                                                                                                     | 1
J085828.7-010714|08 58 29.148|-01 07 18.89| 0.56|08 58 28.717|-01 07 14.74|119082|nat unu distorted low level                                                                                             | 1
J085845.1+171002|08 58 44.539|+17 10 00.10| 0.66|08 58 45.100|+17 10 02.13|119399|nat                                                                                                                     | 1
J090124.9+025916|09 01 23.984|+02 59 02.22| 1.21|09 01 24.981|+02 59 16.36|122268|nat int ring? tri                                                                                                       | 1
J090225.8+204547|09 02 25.102|+20 45 28.15| 1.42|09 02 25.827|+20 45 47.24|123351|wat ring?                                                                                                               | 1
J090305.5+450959|09 03 04.794|+45 09 53.66| 0.56|09 03 05.553|+45 09 59.47|124105|nat distorted                                                                                                           | 1
J090616.5+441856|09 06 16.123|+44 19 03.86| 0.21|09 06 16.564|+44 18 56.99|127678|nat                                                                                                                     | 1
J091042.2+384125|09 10 42.029|+38 41 21.18| 0.56|09 10 42.233|+38 41 25.60|132551|wat                                                                                                                     | 1
J091118.8+073239|09 11 19.144|+07 32 34.02| 0.76|09 11 18.890|+07 32 39.77|133221|wat tri?                                                                                                                | 1
J091204.2+094405|09 12 04.469|+09 44 11.93| 0.74|09 12 04.232|+09 44 05.56|134091|wat starwars?                                                                                                           | 1
J091213.2+133847|09 12 13.360|+13 39 15.13| 1.50|09 12 13.258|+13 38 47.67|134286|wat                                                                                                                     | 1
J091235.1+155958|09 12 35.405|+15 59 58.59| 0.86|09 12 35.164|+15 59 58.87|134703|wat w?                                                                                                                  | 1
J091243.7-044038|09 12 42.983|-04 40 29.65| 0.49|09 12 43.784|-04 40 38.35|134858|nat                                                                                                                     | 1
J091325.0+122739|09 13 25.193|+12 27 45.96| 0.50|09 13 25.073|+12 27 39.91|135599|wat                                                                                                                     | 1
J091332.5+182601|09 13 32.335|+18 26 03.60| 0.31|09 13 32.505|+18 26 01.06|135717|wat                                                                                                                     | 1
J091406.0+171556|09 14 06.097|+17 15 56.35| 0.67|09 14 06.097|+17 15 56.35|136344|mg this is for the wat sz+wat? butterfly int                                                                            | 1
J091420.6+582253|09 14 21.557|+58 22 44.78| 0.77|09 14 20.617|+58 22 53.47|136634|wat tri?                                                                                                                | 1
J091639.5+052552|09 16 39.143|+05 25 50.61| 0.98|09 16 39.571|+05 25 52.98|139185|wat                                                                                                                     | 1
J091707.8+550903|09 17 08.204|+55 09 04.53| 0.99|09 17 07.857|+55 09 03.90|139712|wat                                                                                                                     | 1
J091738.6+024521|09 17 39.170|+02 45 23.67| 0.43|09 17 38.630|+02 45 21.73|140326|wat                                                                                                                     | 1
J091856.7+302107|09 18 57.477|+30 21 16.26| 0.46|09 18 56.785|+30 21 07.79|141731|nat ring?                                                                                                               | 1
J091859.3+315140|09 18 59.989|+31 51 49.57| 2.66|09 18 59.397|+31 51 40.86|141793|nat/wat int mg                                                                                                          | 1
J091944.7+360947|09 19 44.997|+36 09 44.18| 1.98|09 19 44.737|+36 09 47.31|142674|wat                                                                                                                     | 1
J092137.8-005857|09 21 37.809|-00 58 59.18| 0.30|09 21 37.820|-00 58 57.17|144805|wat/nat, three component group adjacent to Group 144734                                                                 | 1
J092338.7+570558|09 23 38.815|+57 06 05.42| 0.69|09 23 38.747|+57 05 58.32|146920|wat                                                                                                                     | 1
J092428.8+141409|09 24 29.326|+14 14 04.81| 0.80|09 24 28.875|+14 14 09.32|147889|nat                                                                                                                     | 1
J092539.0+362705|09 25 38.928|+36 27 19.49| 2.80|09 25 39.058|+36 27 05.32|149151|wat w                                                                                                                   | 1
J092645.3+030916|09 26 45.094|+03 09 27.22| 0.75|09 26 45.393|+03 09 16.01|150327|wat                                                                                                                     | 1
J092703.7+542343|09 27 02.990|+54 23 51.86| 0.67|09 27 03.790|+54 23 43.16|150690|nat                                                                                                                     | 1
J093048.6+642237|09 30 49.261|+64 22 37.01| 0.42|09 30 48.630|+64 22 37.64|154876|wat                                                                                                                     | 1
J093158.9+201242|09 31 59.442|+20 12 45.77| 0.24|09 31 58.920|+20 12 42.34|156278|nat ring tri? int                                                                                                       | 1
J093349.9+451956|09 33 49.887|+45 19 58.92| 1.39|09 33 49.985|+45 19 56.04|158214|wat                                                                                                                     | 1
J093522.7+112455|09 35 23.264|+11 24 58.77| 0.43|09 35 22.764|+11 24 55.54|159882|nat tri? int distorted mg                                                                                               | 1
J093524.9+235505|09 35 23.479|+23 55 05.03| 0.62|09 35 24.925|+23 55 05.78|159913|nat dd?                                                                                                                 | 1
J093616.5-045535|09 36 16.437|-04 55 35.39| 1.24|09 36 16.550|-04 55 35.99|160852|nat mg hook? tri? unu                                                                                                   | 1
J093919.5+232007|09 39 18.841|+23 20 11.55| 0.74|09 39 19.553|+23 20 07.22|164301|wat                                                                                                                     | 1
J093921.6+231938|09 39 20.895|+23 19 41.67| 0.48|09 39 21.631|+23 19 38.81|164301|wat                                                                                                                     | 1
J094332.4-050736|09 43 34.199|-05 07 38.68| 0.90|09 43 32.403|-05 07 36.61|168970|nat                                                                                                                     | 1
J094443.2+024754|09 44 43.826|+02 48 00.05| 2.02|09 44 43.208|+02 47 54.23|170201|wat, cat missed core?                                                                                                   | 1
J094455.2-061603|09 44 55.016|-06 16 08.64| 0.50|09 44 55.205|-06 16 03.00|170456|nat                                                                                                                     | 1
J094702.1+340303|09 47 02.407|+34 03 11.75| 1.31|09 47 02.184|+34 03 03.80|172889|wat                                                                                                                     | 1
J094707.5+004417|09 47 07.182|+00 44 09.19| 0.65|09 47 07.515|+00 44 17.15|172999|nat w?                                                                                                                  | 1
J094715.5+525055|09 47 15.887|+52 51 05.20| 0.55|09 47 15.542|+52 50 55.74|173140|wat                                                                                                                     | 1
J094841.7+421817|09 48 41.608|+42 18 29.66| 0.95|09 48 41.752|+42 18 17.02|174693|nat/wat dd unu                                                                                                          | 1
J095007.0+434400|09 50 07.371|+43 44 00.42| 0.62|09 50 07.054|+43 44 00.27|176324|wat                                                                                                                     | 1
J095102.5+102211|09 51 02.369|+10 22 16.65| 0.87|09 51 02.521|+10 22 11.17|177307|wat                                                                                                                     | 1
J095113.2+180143|09 51 14.020|+18 01 55.52| 0.91|09 51 13.289|+18 01 43.01|177468|nat cat missed core?                                                                                                    | 1
J095252.4-044958|09 52 53.408|-04 49 52.70| 0.76|09 52 52.415|-04 49 58.03|179369|nat w?                                                                                                                  | 1
J095327.8+292420|09 53 28.134|+29 24 36.62| 0.90|09 53 27.832|+29 24 20.51|179987|wat                                                                                                                     | 1
J095438.0+575350|09 54 38.625|+57 53 31.09| 1.33|09 54 38.009|+57 53 50.75|181292|nat/wat                                                                                                                 | 1
J095539.2+013549|09 55 39.331|+01 35 31.34| 0.68|09 55 39.279|+01 35 49.42|182451|nat                                                                                                                     | 1
J095603.5+233810|09 56 03.235|+23 38 10.83| 0.60|09 56 03.547|+23 38 10.41|182868|wat                                                                                                                     | 1
J095641.7+183548|09 56 41.769|+18 35 42.21| 0.73|09 56 41.782|+18 35 48.28|183563|wat                                                                                                                     | 1
J095700.6-064423|09 57 00.599|-06 44 08.64| 2.55|09 57 00.654|-06 44 23.60|183849|wat                                                                                                                     | 1
J095716.4+190651|09 57 15.641|+19 06 44.27| 2.23|09 57 16.416|+19 06 51.15|184155|wat/nat                                                                                                                 | 1
J095759.3+032725|09 57 59.557|+03 27 17.25| 1.07|09 57 59.363|+03 27 25.54|184997|nat                                                                                                                     | 1
J095759.7+191607|09 58 00.189|+19 16 11.14| 1.50|09 57 59.784|+19 16 07.21|184970|wat                                                                                                                     | 1
J095952.1+244757|09 59 52.145|+24 47 53.11| 0.54|09 59 52.121|+24 47 57.52|187105|nat                                                                                                                     | 1
J100044.5+204726|10 00 43.672|+20 47 12.91| 0.65|10 00 44.541|+20 47 26.48|188081|nat ring                                                                                                                | 1
J100328.5-043809|10 03 27.896|-04 38 09.26| 0.94|10 03 28.502|-04 38 09.48|191177|wat/nat x?                                                                                                              | 1
J100515.8+221048|10 05 15.343|+22 10 42.55| 0.38|10 05 15.826|+22 10 48.17|193198|nat                                                                                                                     | 1
J100515.8+231500|10 05 15.890|+23 15 03.89| 1.00|10 05 15.890|+23 15 00.75|193187|mg wat                                                                                                                  | 1
J100756.0+155003|10 07 55.636|+15 50 07.88| 0.87|10 07 56.000|+15 50 03.58|196130|wat mg unu                                                                                                              | 1
J100836.7+281301|10 08 36.777|+28 13 01.83| 0.72|10 08 36.709|+28 13 01.67|196938|wat/nat w?                                                                                                              | 1
J100943.4+033721|10 09 43.343|+03 37 14.30| 1.65|10 09 43.484|+03 37 21.39|198198|wat dd?                                                                                                                 | 1
J101207.3+084133|10 12 05.985|+08 41 44.51| 1.37|10 12 07.363|+08 41 33.50|200897|wat                                                                                                                     | 1
J101220.0+363927|10 12 20.152|+36 39 35.87| 0.57|10 12 20.020|+36 39 27.23|201210|wat                                                                                                                     | 1
J101436.3+494531|10 14 35.732|+49 45 25.29| 1.28|10 14 36.380|+49 45 31.59|203630|wat int                                                                                                                 | 1
J101442.1+003801|10 14 42.719|+00 38 07.00| 0.46|10 14 42.139|+00 38 01.53|203798|nat                                                                                                                     | 1
J101601.8+240009|10 16 02.358|+24 00 16.08| 0.72|10 16 01.841|+24 00 09.81|205284|wat                                                                                                                     | 1
J101801.6+635228|10 18 00.892|+63 52 28.02| 0.67|10 18 01.677|+63 52 28.66|207481|wat                                                                                                                     | 1
J101932.3+140252|10 19 31.666|+14 02 50.17| 0.72|10 19 32.314|+14 02 52.54|209237|wat                                                                                                                     | 1
J102000.7+171452|10 20 00.825|+17 14 56.12| 0.63|10 20 00.753|+17 14 52.39|209776|wat                                                                                                                     | 1
J102216.4-042053|10 22 16.817|-04 20 54.12| 1.00|10 22 16.493|-04 20 53.04|212319|nat                                                                                                                     | 1
J102228.2+165315|10 22 27.786|+16 53 20.71| 0.36|10 22 28.223|+16 53 15.38|212537|nat dd?                                                                                                                 | 1
J102255.3+421641|10 22 54.746|+42 16 33.24| 0.44|10 22 55.315|+42 16 41.92|213050|nat                                                                                                                     | 1
J102501.9+040141|10 25 01.289|+04 01 52.95| 0.70|10 25 01.919|+04 01 41.16|215453|nat                                                                                                                     | 1
J102945.0+252310|10 29 44.855|+25 23 25.19| 0.76|10 29 45.085|+25 23 10.94|220579|nat distorted ring?                                                                                                     | 1
J103502.6+425548|10 35 02.823|+42 55 39.34| 1.38|10 35 02.623|+42 55 48.59|226323|wat dd                                                                                                                  | 1
J103737.0+362520|10 37 37.383|+36 25 24.49| 0.48|10 37 37.089|+36 25 20.91|229090|nat                                                                                                                     | 1
J103836.6+011747|10 38 36.778|+01 17 55.90| 1.14|10 38 36.673|+01 17 47.25|230293|wat int                                                                                                                 | 1
J103938.8+553746|10 39 38.908|+55 37 42.77| 0.34|10 39 38.880|+55 37 46.56|231420|nat                                                                                                                     | 1
J103946.8-064521|10 39 47.003|-06 45 27.39| 0.57|10 39 46.898|-06 45 21.10|231608|nat                                                                                                                     | 1
J104104.1+335520|10 41 04.552|+33 55 11.71| 1.53|10 41 04.120|+33 55 20.70|232993|nat                                                                                                                     | 1
J104254.6+290717|10 42 54.122|+29 07 17.54| 0.51|10 42 54.697|+29 07 17.22|235039|wat dd int                                                                                                              | 1
J104501.7+125800|10 45 01.245|+12 58 05.83| 0.42|10 45 01.729|+12 58 00.33|237336|nat                                                                                                                     | 1
J104516.2+235140|10 45 16.800|+23 51 45.21| 0.45|10 45 16.222|+23 51 40.51|237623|nat                                                                                                                     | 1
J104646.7+121038|10 46 46.909|+12 10 45.59| 0.35|10 46 46.755|+12 10 38.77|239251|nat dd                                                                                                                  | 1
J104742.7+434651|10 47 42.793|+43 47 00.35| 1.99|10 47 42.771|+43 46 51.86|240181|nat/wat                                                                                                                 | 1
J104759.2+151559|10 47 59.184|+15 16 06.34| 1.34|10 47 59.239|+15 15 59.41|240488|nat int                                                                                                                 | 1
J104914.0+005945|10 49 14.460|+00 59 52.86| 1.20|10 49 14.070|+00 59 45.18|241922|nat/wat w dd hook                                                                                                       | 1
J104934.3+444553|10 49 33.759|+44 45 47.35| 0.86|10 49 34.341|+44 45 53.09|242286|wat                                                                                                                     | 1
J104955.7+461912|10 49 54.982|+46 19 25.55| 1.11|10 49 55.710|+46 19 12.20|242691|nat hook distorted                                                                                                      | 1
J105129.8+050325|10 51 30.505|+05 03 11.56| 0.68|10 51 29.822|+05 03 25.71|244518|nat dd                                                                                                                  | 1
J105138.3+580754|10 51 39.593|+58 07 53.30| 0.39|10 51 38.388|+58 07 54.60|244676|nat                                                                                                                     | 1
J105229.1+114536|10 52 28.879|+11 45 46.66| 0.36|10 52 29.130|+11 45 36.57|245581|nat arc?                                                                                                                | 1
J105402.7-020917|10 54 02.976|-02 09 03.02| 1.53|10 54 02.767|-02 09 17.95|247345|nat distorted int dd?                                                                                                   | 1
J105501.0+520156|10 55 00.986|+52 02 01.30| 0.65|10 55 01.052|+52 01 56.39|248402|nat/wat w                                                                                                               | 1
J110220.7-061419|11 02 21.571|-06 13 55.73| 0.91|11 02 20.737|-06 14 19.50|256226|nat dd?                                                                                                                 | 1
J110444.4+472657|11 04 43.891|+47 26 54.11| 0.75|11 04 44.421|+47 26 57.37|258879|nat                                                                                                                     | 1
J110555.0-000342|11 05 55.111|-00 03 33.63| 1.20|11 05 55.054|-00 03 42.00|260184|wat                                                                                                                     | 1
J111140.4+404707|11 11 39.614|+40 47 20.83| 1.25|11 11 40.488|+40 47 07.17|266811|nat                                                                                                                     | 1
J111833.4+311515|11 18 34.177|+31 15 24.16| 0.95|11 18 33.441|+31 15 15.53|274426|wat                                                                                                                     | 1
J111931.3+020729|11 19 31.796|+02 07 30.61| 0.86|11 19 31.376|+02 07 29.82|275456|nat/wat                                                                                                                 | 1
J111933.1+631718|11 19 34.709|+63 17 15.14| 1.27|11 19 33.174|+63 17 18.35|275474|nat/wat                                                                                                                 | 1
J111946.5+375053|11 19 47.049|+37 50 53.97| 0.48|11 19 46.584|+37 50 53.17|275751|nat unu int                                                                                                             | 1
J112038.5+291234|11 20 40.516|+29 12 26.04| 1.53|11 20 38.534|+29 12 34.39|276641|wat                                                                                                                     | 1
J112117.9-001327|11 21 18.271|-00 13 34.92| 1.03|11 21 17.996|-00 13 27.56|277358|nat                                                                                                                     | 1
J112446.8+285705|11 24 46.441|+28 57 06.27| 0.89|11 24 46.870|+28 57 05.89|281151|nat                                                                                                                     | 1
J112502.1+091003|11 25 01.693|+09 10 04.31| 0.98|11 25 02.190|+09 10 03.59|281431|nat/wat                                                                                                                 | 1
J112656.2+400341|11 26 55.744|+40 03 32.70| 0.78|11 26 56.249|+40 03 41.24|283549|wat                                                                                                                     | 1
J112924.0+210113|11 29 23.701|+21 01 19.62| 1.59|11 29 24.043|+21 01 13.38|286367|wat                                                                                                                     | 1
J113122.8+212600|11 31 22.875|+21 26 08.21| 0.36|11 31 22.838|+21 26 00.90|288639|nat ring                                                                                                                | 1
J113130.8+012834|11 31 31.511|+01 28 45.22| 0.55|11 31 30.847|+01 28 34.70|288833|nat                                                                                                                     | 1
J113359.2+490344|11 33 56.439|+49 03 51.89| 1.91|11 33 59.249|+49 03 44.57|291462|nat                                                                                                                     | 1
J113828.5+155450|11 38 28.364|+15 54 58.05| 0.42|11 38 28.538|+15 54 50.57|296426|wat                                                                                                                     | 1
J113843.2+334324|11 38 43.859|+33 43 28.00| 0.62|11 38 43.232|+33 43 24.40|296694|nat     mg, if separate systems                                                                                         | 1
J113848.3+334315|11 38 48.333|+33 43 14.67| 2.31|11 38 48.396|+33 43 15.46|296694|wat/nat mg very int curiosity, if multiple systems                                                                      | 1
J113848.4+334315|11 38 48.333|+33 43 14.67| 0.32|11 38 48.459|+33 43 15.46|296694|wat     mg, if separate systems                                                                                         | 1
J113851.3+334259|11 38 52.554|+33 42 55.83| 0.63|11 38 51.314|+33 42 59.01|296694|wat/nat mg, if separate systems                                                                                         | 1
J114019.6+535035|11 40 19.335|+53 50 30.74| 1.36|11 40 19.693|+53 50 35.45|298409|nat                                                                                                                     | 1
J114111.2+054359|11 41 10.972|+05 43 51.66| 0.90|11 41 11.273|+05 43 59.39|299419|wat                                                                                                                     | 1
J114340.1+072957|11 43 40.144|+07 29 51.36| 1.88|11 43 40.144|+07 29 57.65|302092|wat                                                                                                                     | 1
J114553.0-075755|11 45 52.843|-07 57 52.74| 0.37|11 45 53.065|-07 57 55.32|304640|wat starwars?                                                                                                           | 1
J114928.9+491136|11 49 29.528|+49 11 32.10| 0.44|11 49 28.964|+49 11 36.79|308658|nat                                                                                                                     | 1
J115146.9+042223|11 51 46.641|+04 22 07.58| 1.07|11 51 46.940|+04 22 23.14|311231|nat dd                                                                                                                  | 1
J115237.4+422905|11 52 35.637|+42 29 04.33| 0.84|11 52 37.413|+42 29 05.19|312173|nat                                                                                                                     | 1
J115243.3+340530|11 52 43.295|+34 05 34.97| 0.32|11 52 43.313|+34 05 30.66|312362|wat unu                                                                                                                 | 1
J115424.4+020651|11 54 24.515|+02 06 43.85| 0.72|11 54 24.410|+02 06 51.71|314321|nat                                                                                                                     | 1
