FCG|RAJ2000|DEJ2000|Size|RAc|DEc|Group|Com|Tno
 |"h:m:s"|"d:m:s"|arcmin|"h:m:s"|"d:m:s"| | |
----------------|------------|------------|-----|------------|------------|------|------------------------------------------------------------------------------------------------------------------------|--
J164210.3+173529|16 42 10.322|+17 35 29.24| 1.13|            |            |623063|                                                                                                                        |11
J164318.5+264230|16 43 18.532|+26 42 30.66| 0.60|            |            |623903|dd                                                                                                                      |11
J164536.3+132752|16 45 36.393|+13 27 52.08| 0.38|            |            |625586|                                                                                                                        |11
J164613.8+285809|16 46 13.953|+28 58 07.06| 0.94|16 46 13.802|+28 58 09.28|626051|                                                                                                                        |11
J165750.9+440125|16 57 50.975|+44 01 25.97| 0.50|            |            |634502|                                                                                                                        |11
J170411.9+305821|17 04 12.392|+30 58 13.97| 0.54|17 04 11.993|+30 58 21.01|638920|dl                                                                                                                      |11
J170604.2+485602|17 06 04.289|+48 56 02.79| 0.57|            |            |640146|dl                                                                                                                      |11
J170817.3+594629|17 08 17.365|+59 46 25.60| 0.95|17 08 17.309|+59 46 29.83|641541|                                                                                                                        |11
J170846.1+243530|17 08 46.115|+24 35 31.11| 0.73|17 08 46.152|+24 35 30.82|641825|                                                                                                                        |11
J171013.3+402207|17 10 13.396|+40 22 07.30| 0.28|            |            |642685|dd? hook int                                                                                                            |11
J171317.4+581243|17 13 17.450|+58 12 43.23| 0.39|            |            |644443|dd dl                                                                                                                   |11
J171556.1+434017|17 15 56.120|+43 40 17.09| 0.52|            |            |646003|                                                                                                                        |11
J172218.9+310322|17 22 19.412|+31 03 19.65| 0.82|17 22 18.923|+31 03 22.67|649497|x? ring-lobe                                                                                                            |11
J172308.0+301715|17 23 08.438|+30 17 15.33| 0.96|17 23 08.033|+30 17 15.64|649852|dd int                                                                                                                  |11
J172843.3+420006|17 28 42.942|+42 00 05.98| 0.65|17 28 43.367|+42 00 06.99|652255|                                                                                                                        |11
J173130.6+542930|17 31 30.789|+54 29 28.39| 1.24|17 31 30.698|+54 29 30.39|653218|dl?                                                                                                                     |11
J173334.4+434254|17 33 34.279|+43 42 57.65| 0.66|17 33 34.460|+43 42 54.79|653855|dd                                                                                                                      |11
J174257.9+572652|17 42 57.958|+57 26 52.87| 0.80|            |            |655907|                                                                                                                        |11
J210051.2-060709|21 00 51.354|-06 07 06.41| 0.26|21 00 51.271|-06 07 09.08|656257|rc dl?                                                                                                                  |11
